Date,Open,High,Low,Close,Quantity,Volume
2018.01.02,20.70000,21.10000,20.54000,21.04000,33606,12717800
2018.01.03,20.92000,21.32000,20.92000,21.09000,25371,9389900
2018.01.04,21.09000,21.17000,20.85000,20.98000,25266,9104300
2018.01.05,20.98000,21.10000,20.90000,21.05000,21617,11510200
2018.01.08,21.05000,21.05000,20.85000,21.02000,19475,7074000
2018.01.09,21.01000,21.04000,20.88000,20.96000,16477,5850700
2018.01.10,20.81000,21.07000,20.80000,20.96000,13283,5434100
2018.01.11,21.05000,21.22000,20.88000,21.20000,17596,8663800
2018.01.12,21.04000,21.29000,20.82000,20.96000,27595,15529600
2018.01.15,20.96000,21.20000,20.96000,21.17000,15633,4853800
2018.01.16,21.17000,21.41000,21.15000,21.25000,31646,9193800
2018.01.17,21.30000,21.40000,21.15000,21.37000,20435,11318200
2018.01.18,21.27000,21.42000,21.19000,21.27000,25520,7703100
2018.01.19,21.34000,21.40000,21.18000,21.35000,21293,10712900
2018.01.22,21.24000,21.34000,21.19000,21.25000,19169,9900600
2018.01.23,21.24000,21.35000,21.02000,21.25000,18215,11746700
2018.01.24,21.31000,21.37000,20.98000,21.24000,36017,21173700
2018.01.26,21.26000,21.28000,21.06000,21.23000,38422,14872900
2018.01.29,21.15000,21.20000,21.03000,21.19000,25623,8321700
2018.01.30,21.08000,21.35000,21.08000,21.22000,15024,12074900
2018.01.31,21.31000,21.60000,21.27000,21.30000,31295,12252600
2018.02.01,21.44000,21.92000,21.44000,21.64000,38244,23424100
2018.02.02,21.34000,21.52000,21.11000,21.42000,21821,12316800
2018.02.05,21.26000,21.41000,21.10000,21.10000,18008,12556400
2018.02.06,20.95000,21.26000,20.54000,21.04000,37590,18958500
2018.02.07,21.10000,21.44000,20.91000,21.04000,35457,12915900
2018.02.08,21.13000,21.34000,20.94000,21.08000,23146,20079400
2018.02.09,21.01000,21.21000,20.68000,20.92000,30449,16896300
2018.02.14,21.13000,21.80000,21.08000,21.65000,23153,17857000
2018.02.15,21.65000,21.85000,21.63000,21.71000,20693,10312600
2018.02.16,21.68000,21.92000,21.46000,21.83000,23747,13084500
2018.02.19,21.87000,21.91000,21.61000,21.74000,6236,2501800
2018.02.20,21.64000,22.10000,21.56000,22.10000,22689,15588100
2018.02.21,22.17000,22.21000,21.77000,21.80000,29180,22576300
2018.02.22,21.85000,21.90000,21.66000,21.82000,22077,16270400
2018.02.23,21.88000,22.05000,21.24000,21.38000,32350,32687400
2018.02.26,21.63000,21.65000,21.22000,21.56000,41604,19128700
2018.02.27,21.66000,21.75000,21.46000,21.63000,21098,9223300
2018.02.28,21.71000,21.79000,21.41000,21.41000,28531,62731700
2018.03.01,22.08000,22.13000,21.51000,21.74000,37842,20943200
2018.03.02,21.63000,21.98000,21.43000,21.98000,30266,13813000
2018.03.05,21.80000,22.21000,21.78000,21.92000,20979,13439700
2018.03.06,21.97000,22.31000,21.84000,22.16000,30196,16957900
2018.03.07,22.13000,22.54000,22.04000,22.46000,24518,13617400
2018.03.08,22.35000,22.85000,22.33000,22.68000,19788,16683100
