Date,Open,High,Low,Close,Quantity,Volume
2018.01.02,30.29000,31.08000,30.29000,31.08000,22559,9178000
2018.01.03,31.24000,31.55000,30.98000,31.48000,20964,8180700
2018.01.04,31.64000,32.06000,31.58000,31.78000,22590,9609600
2018.01.05,31.81000,32.00000,31.42000,31.78000,14131,5267800
2018.01.08,31.75000,31.86000,31.47000,31.86000,14173,5130600
2018.01.09,31.71000,31.91000,31.51000,31.56000,13350,5822500
2018.01.10,31.34000,31.71000,30.98000,31.42000,13295,5070000
2018.01.11,31.56000,32.30000,31.48000,32.14000,15340,9684400
2018.01.12,31.78000,32.25000,31.74000,32.22000,17238,7650400
2018.01.15,32.22000,32.52000,32.22000,32.38000,12411,5244600
2018.01.16,32.54000,32.75000,32.41000,32.66000,15287,6219300
2018.01.17,32.67000,33.58000,32.53000,33.43000,24141,12134800
2018.01.18,33.59000,33.59000,32.78000,33.21000,19247,9429400
2018.01.19,33.33000,33.79000,32.99000,32.99000,14768,8142700
2018.01.22,33.04000,33.23000,32.59000,33.10000,18809,6341000
2018.01.23,33.01000,33.50000,32.76000,33.23000,32402,17731400
2018.01.24,33.51000,35.86000,33.45000,35.86000,54265,27722100
2018.01.26,36.25000,37.29000,36.01000,36.97000,78263,24260100
2018.01.29,36.73000,37.00000,36.35000,36.77000,32200,13322200
2018.01.30,36.31000,36.77000,36.15000,36.63000,19284,10832100
2018.01.31,37.19000,37.85000,37.19000,37.46000,26045,12752900
2018.02.01,37.22000,37.81000,37.17000,37.56000,30910,10992500
2018.02.02,37.10000,37.37000,36.86000,37.05000,25227,8409600
2018.02.05,36.63000,37.20000,35.90000,35.95000,15150,6043400
2018.02.06,35.54000,37.83000,35.22000,37.52000,33964,13040200
2018.02.07,37.50000,38.33000,37.28000,37.56000,31295,13992300
2018.02.08,37.77000,37.97000,36.38000,36.38000,28911,12651200
2018.02.09,36.49000,36.62000,35.17000,35.70000,29374,9858400
2018.02.14,35.92000,37.51000,35.92000,37.34000,23913,10787900
2018.02.15,37.76000,37.95000,37.38000,37.66000,21286,11229500
2018.02.16,37.88000,38.05000,37.47000,38.04000,15584,6577100
2018.02.19,37.95000,38.29000,36.98000,37.41000,10961,4608300
2018.02.20,37.05000,38.64000,36.94000,38.51000,21606,8990400
2018.02.21,38.42000,39.12000,38.42000,38.82000,27641,11831700
2018.02.22,40.71000,40.85000,39.78000,40.02000,36102,17075800
2018.02.23,40.12000,40.30000,39.60000,40.02000,19367,8615600
2018.02.26,40.14000,40.69000,40.14000,40.61000,18749,6994200
2018.02.27,40.45000,40.68000,39.93000,40.21000,13926,5957000
2018.02.28,39.93000,40.48000,39.19000,39.46000,20438,7773500
2018.03.01,39.44000,39.88000,39.27000,39.74000,25514,7234200
2018.03.02,39.42000,40.23000,39.08000,40.03000,16168,5658600
2018.03.05,40.08000,40.68000,39.77000,40.36000,20072,6035900
2018.03.06,40.60000,41.70000,40.60000,41.25000,37414,14942600
2018.03.07,40.88000,41.36000,40.42000,40.97000,18745,7905300
2018.03.08,41.74000,42.02000,40.68000,41.19000,20719,8983400
2018.03.09,41.27000,41.79000,40.88000,41.46000,22250,9172700
2018.03.12,41.46000,41.46000,40.79000,41.25000,21168,8734600
2018.03.13,41.31000,41.40000,40.56000,40.71000,17958,8468600
2018.03.14,40.85000,40.93000,39.91000,40.36000,17659,14923400
2018.03.15,40.09000,40.31000,39.61000,40.28000,17080,8744700
2018.03.16,40.38000,40.68000,39.99000,40.29000,20690,23426600
2018.03.19,40.10000,40.22000,39.27000,39.34000,19819,10439000
2018.03.20,39.61000,39.73000,39.02000,39.49000,13443,5975000
2018.03.21,39.45000,40.19000,39.22000,40.14000,19411,12071400
2018.03.22,39.80000,40.41000,39.09000,39.42000,16660,7847100
2018.03.23,39.07000,39.81000,38.73000,39.15000,20931,8919200
2018.03.26,39.71000,39.81000,39.13000,39.41000,13454,4081800
2018.03.27,39.63000,39.67000,38.05000,38.43000,18715,11304300
2018.03.28,38.10000,38.55000,37.75000,38.31000,22582,7943300
2018.03.29,38.58000,39.43000,38.43000,38.98000,22780,7504700
2018.04.02,38.99000,39.09000,38.18000,38.24000,20663,7692700
2018.04.03,38.36000,38.72000,37.62000,37.74000,14602,6417300
2018.04.04,36.87000,38.05000,36.79000,38.05000,18425,7648700
2018.04.05,39.66000,39.67000,38.84000,39.16000,28803,11963600
2018.04.06,38.97000,38.97000,38.02000,38.65000,17854,7735300
2018.04.09,38.65000,38.87000,36.81000,37.24000,22645,8322200
2018.04.10,37.84000,37.84000,36.30000,36.80000,31418,12980800
2018.04.11,36.48000,37.48000,36.48000,37.10000,20108,5601700
2018.04.12,37.17000,37.48000,36.96000,37.01000,12693,5842000
2018.04.13,37.05000,37.20000,35.76000,35.76000,20775,9991000
2018.04.16,36.01000,36.29000,34.49000,34.49000,28711,11328800
2018.04.17,34.85000,35.45000,34.68000,35.32000,19846,7460700
2018.04.18,35.47000,36.58000,35.47000,36.12000,23811,11585300
2018.04.19,36.23000,36.29000,35.72000,36.14000,18520,9874100
2018.04.20,35.79000,36.06000,35.49000,35.74000,12067,5198800
2018.04.23,35.49000,35.50000,34.66000,35.10000,17956,9371400
2018.04.24,35.26000,35.52000,34.53000,34.76000,21716,9899100
2018.04.25,34.52000,35.28000,34.11000,35.21000,18529,6976100
2018.04.26,35.47000,35.70000,35.13000,35.49000,19233,6280800
2018.04.27,35.72000,35.95000,35.34000,35.49000,19273,6139500
2018.04.30,35.63000,35.72000,34.73000,34.87000,10864,5463100
2018.05.02,34.68000,34.88000,34.01000,34.22000,19979,6485500
2018.05.03,34.20000,34.41000,33.25000,33.25000,23871,8714600
2018.05.04,33.25000,33.55000,32.89000,33.19000,18508,7016500
2018.05.07,33.43000,33.89000,33.15000,33.15000,18324,7373100
2018.05.08,33.40000,34.38000,33.25000,34.05000,21576,8857700
2018.05.09,34.30000,35.49000,34.17000,35.49000,27693,13023000
2018.05.10,35.13000,35.13000,34.02000,34.19000,31588,20334300
2018.05.11,34.51000,34.72000,33.81000,34.02000,19907,9100200
2018.05.14,34.02000,34.42000,32.68000,33.18000,24421,8760900
2018.05.15,32.68000,32.68000,32.01000,32.28000,25540,12095200
2018.05.16,32.30000,33.00000,32.30000,32.75000,18651,7450900
2018.05.17,32.67000,32.67000,31.21000,31.23000,34119,13645100
2018.05.18,30.69000,31.32000,30.02000,31.06000,28927,11771200
2018.05.21,31.82000,31.82000,30.31000,30.32000,23644,9418700
2018.05.22,30.72000,31.37000,30.51000,30.96000,23105,10672700
2018.05.23,30.58000,30.82000,30.20000,30.29000,18922,8806300
2018.05.24,29.24000,29.81000,28.85000,29.36000,46647,20226000
2018.05.25,29.78000,29.90000,28.62000,28.75000,23689,9554800
2018.05.28,28.38000,28.38000,26.50000,26.64000,34454,14470600
2018.05.29,27.33000,27.66000,26.57000,27.24000,42454,14507400
2018.05.30,27.28000,29.02000,27.27000,29.02000,38321,21463300
2018.06.01,29.76000,29.89000,27.83000,29.30000,51610,20100500
2018.06.04,29.83000,30.00000,29.41000,29.72000,21906,8330600
2018.06.05,29.48000,29.58000,27.78000,27.83000,24634,11878500
2018.06.06,27.71000,27.94000,26.45000,26.45000,35111,14058600
2018.06.07,25.90000,26.06000,23.89000,25.39000,55344,26468200
2018.06.08,25.66000,26.55000,24.04000,25.75000,56575,22485200
2018.06.11,26.18000,26.37000,24.85000,24.90000,26038,10017700
2018.06.12,25.19000,26.17000,24.97000,25.86000,29328,13890200
2018.06.13,25.87000,26.10000,24.85000,25.39000,27887,15972100
2018.06.14,25.63000,25.75000,24.24000,24.24000,23594,14583500
2018.06.15,24.24000,24.33000,23.29000,23.95000,39909,29958900
2018.06.18,23.74000,24.28000,23.49000,23.49000,27410,11122300
2018.06.19,23.24000,25.67000,23.13000,25.14000,37678,15801800
2018.06.20,25.55000,25.89000,25.02000,25.87000,27821,16621300
2018.06.21,25.65000,25.85000,24.82000,24.92000,29077,10226000
2018.06.22,25.22000,25.50000,24.80000,25.00000,20312,8659000
2018.06.25,25.24000,25.87000,24.88000,25.73000,19821,11049500
2018.06.26,25.92000,26.32000,25.64000,26.04000,26261,11911000
2018.06.27,26.04000,26.99000,25.41000,25.50000,34460,14615400
2018.06.28,25.41000,26.97000,25.41000,26.97000,19377,11095000
2018.06.29,27.38000,27.69000,26.87000,27.45000,32078,13735900
2018.07.02,27.09000,28.16000,27.01000,28.15000,22348,8584400
2018.07.03,28.39000,28.83000,28.30000,28.40000,25515,10067700
2018.07.04,28.59000,29.26000,28.22000,29.22000,12946,6323800
2018.07.05,29.39000,29.50000,28.37000,28.54000,22992,9800900
2018.07.06,28.30000,28.78000,27.84000,28.22000,19901,9108700
2018.07.10,28.64000,28.94000,27.78000,27.98000,21263,14516200
2018.07.11,27.73000,28.72000,27.50000,28.54000,19055,14528100
2018.07.12,28.64000,29.26000,28.64000,29.08000,17647,9948200
2018.07.13,29.03000,29.82000,28.89000,29.82000,18994,10013400
2018.07.16,29.77000,30.05000,29.17000,29.50000,20346,8855100
2018.07.17,29.34000,30.75000,29.28000,30.48000,25384,11564100
2018.07.18,30.46000,30.88000,30.07000,30.29000,26107,12819400
2018.07.19,29.86000,30.02000,29.09000,30.02000,28586,27112400
2018.07.20,31.13000,31.93000,30.72000,31.61000,42144,19529100
2018.07.23,31.61000,31.80000,31.26000,31.40000,11251,5528900
2018.07.24,31.80000,32.02000,31.50000,31.65000,12452,6406200
2018.07.25,31.75000,32.32000,31.75000,32.16000,19722,8287400
2018.07.26,32.13000,32.25000,31.05000,31.11000,19381,7584300
2018.07.27,31.33000,31.90000,31.09000,31.50000,15560,6622500
2018.07.30,31.61000,31.85000,31.39000,31.51000,8348,4748000
2018.07.31,31.38000,31.46000,30.74000,31.13000,17169,6938700
2018.08.01,30.87000,31.85000,30.87000,31.58000,16402,7603200
2018.08.02,31.37000,32.19000,31.28000,31.83000,14715,7740000
2018.08.03,32.11000,33.07000,32.02000,32.79000,25905,12682900
2018.08.06,32.92000,33.05000,32.49000,32.86000,12441,5018200
2018.08.07,32.95000,33.21000,31.78000,32.16000,25089,9977600
2018.08.08,32.24000,32.49000,31.20000,31.26000,23907,9151800
2018.08.09,31.80000,32.49000,31.71000,32.19000,33655,15525700
2018.08.10,31.66000,31.74000,30.18000,30.42000,36097,19938600
2018.08.13,30.27000,30.85000,29.89000,30.56000,21818,8862600
2018.08.14,31.09000,31.67000,30.80000,31.61000,19818,8473700
2018.08.15,31.04000,31.34000,30.75000,30.94000,20749,12727900
2018.08.16,31.31000,31.54000,30.85000,31.04000,16056,9610200
2018.08.17,30.56000,30.88000,29.90000,29.95000,32671,14046500
2018.08.20,29.96000,30.20000,28.93000,29.15000,34623,15751300
2018.08.21,29.03000,29.20000,27.95000,27.99000,35553,15127900
2018.08.22,28.00000,29.15000,27.74000,28.96000,30601,13775200
2018.08.23,28.96000,29.52000,28.14000,28.23000,37749,17182900
2018.08.24,28.90000,29.04000,27.90000,28.62000,24672,10493700
2018.08.27,28.77000,29.50000,28.72000,29.50000,12335,6869400
2018.08.28,29.54000,29.79000,29.21000,29.35000,14646,6044400
2018.08.29,29.58000,30.35000,29.45000,30.02000,16932,8095200
2018.08.30,29.89000,29.89000,28.79000,28.90000,21656,11008500
2018.08.31,28.93000,29.67000,28.69000,29.06000,17851,10786800
2018.09.03,28.83000,28.89000,28.38000,28.38000,12094,5880900
2018.09.04,28.39000,28.47000,27.54000,27.65000,15573,10997900
2018.09.05,27.33000,28.25000,27.13000,27.70000,16415,7445300
2018.09.06,28.19000,28.48000,27.42000,28.32000,21928,10002700
2018.09.10,28.70000,28.89000,27.76000,27.93000,28694,14004600
2018.09.11,27.27000,27.28000,26.62000,26.67000,24114,12271700
2018.09.12,27.10000,27.26000,26.59000,26.78000,23920,15834300
2018.09.13,27.01000,27.06000,26.25000,26.42000,17616,6755400
2018.09.14,26.42000,26.76000,25.90000,26.63000,24369,11168000
2018.09.17,26.52000,27.54000,26.43000,27.54000,21398,14254800
2018.09.18,27.48000,28.77000,27.37000,28.77000,39791,15820100
2018.09.19,28.41000,29.28000,28.12000,28.48000,23712,11815500
2018.09.20,28.92000,28.96000,28.24000,28.56000,16014,6427100
2018.09.21,28.78000,29.60000,28.40000,29.60000,23662,16246100
2018.09.24,29.41000,29.72000,28.56000,28.78000,16703,13051200
2018.09.25,28.10000,28.81000,27.89000,28.60000,21148,11689300
2018.09.26,28.70000,29.01000,28.28000,28.51000,24493,12788600
2018.09.27,28.73000,29.33000,28.73000,29.32000,16260,8744100
2018.09.28,28.88000,29.02000,28.36000,28.51000,17077,12758100
2018.10.01,28.60000,28.81000,27.30000,27.31000,22740,15541300
2018.10.02,28.75000,30.55000,28.70000,30.42000,52967,32737800
2018.10.03,33.88000,34.29000,32.26000,33.18000,65536,35042700
2018.10.04,32.60000,34.73000,32.45000,34.00000,42231,27830400
2018.10.05,34.90000,35.13000,33.48000,34.60000,49648,23412100
2018.10.08,39.20000,39.45000,37.34000,37.95000,73620,41857100
2018.10.09,37.67000,38.43000,37.17000,37.75000,41151,25310900
2018.10.10,36.98000,36.98000,35.93000,36.16000,37501,20789200
2018.10.11,36.78000,36.95000,35.61000,36.01000,33846,19000600
2018.10.15,36.71000,37.21000,36.21000,36.51000,36630,13194600
2018.10.16,36.99000,38.24000,36.99000,38.11000,38075,18254600
2018.10.17,37.54000,38.47000,37.37000,38.44000,32793,16261200
2018.10.18,38.06000,38.70000,37.97000,37.99000,24940,15721800
2018.10.19,38.56000,38.58000,37.91000,38.31000,19729,9764100
2018.10.22,38.58000,38.95000,38.44000,38.58000,23399,10061800
2018.10.23,37.98000,38.90000,37.86000,38.71000,26383,13794900
2018.10.24,38.77000,39.03000,37.81000,37.85000,29619,13762900
2018.10.25,38.38000,39.06000,38.15000,38.82000,33301,14416100
2018.10.26,39.20000,41.21000,38.35000,41.06000,46133,20428400
2018.10.29,42.59000,43.08000,39.92000,40.53000,74808,36619500
2018.10.30,41.26000,42.01000,40.39000,41.72000,51470,22299300
2018.10.31,42.06000,42.21000,40.29000,41.38000,31421,12341400
2018.11.01,41.43000,42.17000,41.08000,41.99000,35451,15664100
2018.11.05,42.16000,42.20000,41.35000,42.02000,30397,10391700
2018.11.06,41.15000,41.86000,40.91000,41.11000,23505,12087500
2018.11.07,41.41000,41.70000,39.55000,40.12000,34898,11743000
2018.11.08,41.19000,41.39000,39.22000,39.30000,38850,17319300
2018.11.09,39.20000,40.43000,38.46000,40.17000,28358,12701700
2018.11.12,40.44000,41.13000,39.97000,40.83000,26516,11014600
2018.11.13,40.90000,41.27000,40.20000,40.37000,28432,11226800
2018.11.14,40.41000,40.67000,39.62000,40.43000,28827,15645500
2018.11.16,40.73000,41.72000,40.49000,41.71000,32616,14961700
2018.11.19,41.73000,42.88000,41.47000,42.69000,29695,16046600
2018.11.21,42.11000,42.69000,41.89000,42.59000,25619,12460100
2018.11.22,43.00000,43.79000,42.55000,43.38000,21795,10627300
2018.11.23,43.92000,44.69000,43.63000,43.72000,33183,14543200
2018.11.26,43.98000,44.63000,42.57000,42.95000,23353,11379600
2018.11.27,42.99000,44.31000,42.60000,43.96000,28022,13467400
2018.11.28,44.21000,44.70000,43.29000,44.66000,29308,13240500
2018.11.29,44.31000,44.80000,43.89000,44.15000,19881,9704000
2018.11.30,44.19000,44.23000,43.23000,43.56000,31980,11265500
2018.12.03,44.50000,44.50000,42.99000,43.04000,38531,12470500
2018.12.04,43.05000,43.53000,42.29000,42.61000,24032,11076300
2018.12.05,42.79000,43.11000,42.37000,43.04000,11602,4950700
2018.12.06,42.43000,43.30000,42.04000,43.30000,24059,8149500
2018.12.07,43.29000,43.85000,42.75000,42.97000,19477,7779900
2018.12.10,42.89000,43.18000,41.57000,41.71000,17987,9517900
2018.12.11,42.26000,42.50000,41.46000,41.95000,21048,9318100
2018.12.12,42.26000,42.66000,41.93000,42.05000,30123,12471100
2018.12.13,42.07000,43.29000,41.72000,43.13000,19387,8021600
2018.12.14,42.82000,43.54000,42.71000,43.15000,17584,7105700
2018.12.17,43.10000,43.57000,42.57000,42.75000,17341,6570700
2018.12.18,43.05000,43.46000,42.81000,42.85000,20963,8036000
2018.12.19,43.05000,43.73000,42.85000,42.85000,19403,7590900
2018.12.20,43.05000,43.58000,42.85000,43.13000,20982,7741700
2018.12.21,43.11000,43.78000,42.78000,43.14000,15749,13974100
2018.12.26,42.82000,43.42000,42.11000,43.42000,17355,7378200
2018.12.27,43.32000,44.14000,43.12000,44.14000,17766,7034400
2018.12.28,44.21000,45.48000,43.88000,45.48000,33031,12985900
2019.01.02,45.20000,48.62000,45.09000,47.55000,44353,14905300
2019.01.03,47.45000,48.14000,46.81000,47.74000,25924,8879100
2019.01.04,47.04000,48.75000,46.88000,47.74000,25102,8859200
2019.01.07,47.77000,48.40000,47.13000,47.43000,19596,9393500
2019.01.08,47.55000,47.99000,45.82000,46.89000,33786,14517300
2019.01.09,47.30000,47.30000,46.45000,46.77000,37753,16718000
2019.01.10,46.42000,47.75000,46.13000,47.45000,26686,10447100
2019.01.11,47.43000,47.83000,47.08000,47.65000,20067,6877500
2019.01.14,47.65000,48.75000,47.45000,48.75000,25579,8974400
2019.01.15,48.46000,48.86000,47.91000,48.18000,18624,9243100
2019.01.16,48.28000,48.35000,47.62000,47.72000,16250,6674700
2019.01.17,47.78000,48.42000,47.35000,47.90000,30442,12947600
2019.01.18,47.95000,48.36000,47.50000,47.50000,24754,13081300
2019.01.21,47.57000,47.70000,46.67000,47.25000,21060,8299600
2019.01.22,47.35000,47.86000,46.89000,47.16000,18839,10193300
2019.01.23,47.40000,48.35000,47.16000,48.14000,23355,10197300
2019.01.24,48.13000,48.50000,47.70000,47.89000,28294,10353400
2019.01.28,46.96000,48.15000,46.96000,47.27000,23259,8400800
2019.01.29,47.94000,48.85000,47.54000,48.85000,29857,12203700
2019.01.30,48.92000,49.49000,48.40000,49.49000,24602,8550100
2019.01.31,49.90000,51.61000,49.79000,50.74000,35883,15088300
2019.02.01,50.44000,50.98000,50.10000,50.98000,23351,8604100
2019.02.04,50.60000,52.30000,50.19000,51.95000,21883,7739600
2019.02.05,51.51000,53.47000,51.51000,53.47000,29461,11426700
2019.02.06,52.68000,52.75000,50.21000,50.21000,35749,16436900
2019.02.07,50.87000,51.62000,49.02000,50.54000,34763,15667000
2019.02.08,50.43000,51.62000,49.81000,50.61000,24883,10047300
2019.02.11,50.87000,51.04000,49.11000,49.11000,23811,9323100
2019.02.12,49.72000,52.31000,49.70000,52.14000,37618,18333100
2019.02.13,52.14000,52.59000,50.53000,50.95000,42339,14405500
2019.02.14,52.05000,53.79000,50.95000,53.56000,50907,27533500
2019.02.15,53.52000,54.28000,53.10000,53.62000,34574,12532600
2019.02.18,53.18000,53.59000,52.37000,53.10000,22100,8809400
2019.02.19,53.25000,54.70000,53.14000,53.32000,33943,13553400
2019.02.20,54.08000,54.32000,51.81000,51.81000,43540,16671900
2019.02.21,52.29000,52.72000,51.76000,52.05000,27470,10342700
2019.02.22,52.54000,52.84000,51.93000,52.43000,19279,7260200
2019.02.25,53.01000,53.11000,51.56000,51.57000,25264,10139000
2019.02.26,51.65000,52.27000,51.36000,51.85000,18299,7287300
2019.02.27,51.82000,52.04000,51.21000,51.26000,16298,6269600
2019.02.28,51.36000,51.50000,49.90000,49.97000,24596,11046200
2019.03.01,50.13000,50.87000,50.03000,50.68000,29708,9272200
2019.03.06,50.79000,51.49000,49.88000,49.97000,17339,5165800
2019.03.07,49.97000,50.32000,49.53000,49.81000,21919,8474400
2019.03.08,49.65000,51.70000,49.20000,51.56000,24360,8093300
2019.03.11,51.69000,53.14000,51.68000,53.14000,27014,11473000
2019.03.12,52.94000,53.26000,51.87000,52.81000,18292,8003300
2019.03.13,52.67000,54.02000,52.39000,53.62000,22226,9525600
2019.03.14,53.47000,53.57000,52.38000,53.22000,23675,8089900
2019.03.15,53.17000,53.75000,52.96000,53.67000,20377,12690200
2019.03.18,54.02000,54.06000,53.17000,53.27000,27488,12033000
2019.03.19,53.47000,53.52000,52.01000,52.13000,24700,8399100
2019.03.20,52.17000,52.36000,50.96000,50.96000,33771,13198900
2019.03.21,51.06000,51.21000,49.18000,49.89000,45791,15771400
2019.03.22,48.79000,48.80000,47.03000,47.18000,53846,22736000
2019.03.25,46.91000,48.35000,46.54000,47.52000,36210,13614800
2019.03.26,48.47000,48.76000,47.30000,48.63000,28376,11695100
2019.03.27,47.77000,47.77000,45.94000,45.94000,51841,18815300
