Date,Open,High,Low,Close,Quantity,Volume
2018.01.02,24.89000,25.44000,24.87000,25.29000,21444,8420500
2018.01.03,25.27000,25.62000,25.13000,25.41000,18552,5511500
2018.01.04,25.44000,26.00000,25.44000,25.82000,21075,9526000
2018.01.05,25.76000,25.97000,25.54000,25.97000,15174,6603700
2018.01.08,25.94000,26.03000,25.62000,25.96000,20123,6464500
2018.01.09,25.96000,25.96000,25.57000,25.72000,18839,5582100
2018.01.10,25.43000,25.69000,25.35000,25.45000,19088,8906700
2018.01.11,25.58000,25.96000,25.46000,25.96000,17790,6404600
2018.01.12,25.86000,25.99000,25.69000,25.96000,14764,4983400
2018.01.15,26.00000,26.14000,25.90000,26.14000,8115,6263600
2018.01.16,26.15000,26.47000,26.06000,26.32000,18542,7486300
2018.01.17,26.33000,26.98000,26.12000,26.98000,23229,7420200
2018.01.18,26.92000,27.17000,26.75000,26.95000,27587,8850900
2018.01.19,27.04000,27.23000,26.82000,27.14000,16245,10922500
2018.01.22,27.31000,27.55000,27.22000,27.51000,22077,8795700
2018.01.23,27.36000,28.02000,27.36000,27.61000,27491,21534900
2018.01.24,27.88000,29.11000,27.88000,29.11000,46950,20832500
2018.01.26,29.33000,30.14000,29.33000,30.13000,53821,19435100
2018.01.29,29.91000,29.92000,29.13000,29.25000,34667,12115100
2018.01.30,29.11000,29.54000,28.79000,29.54000,30457,12353000
2018.01.31,30.00000,30.69000,29.46000,29.80000,31473,18147200
2018.02.01,29.55000,29.62000,28.86000,29.01000,49386,24279600
2018.02.02,28.63000,28.74000,27.91000,28.11000,40902,19858100
2018.02.05,27.95000,28.72000,27.65000,27.65000,24502,11303600
2018.02.06,27.19000,28.46000,27.08000,28.31000,51308,33496100
2018.02.07,28.31000,28.52000,27.72000,27.89000,36933,13527100
2018.02.08,27.98000,28.44000,27.30000,27.54000,38204,12127800
2018.02.09,27.47000,27.73000,26.79000,27.23000,40842,13351300
2018.02.14,27.76000,28.26000,27.45000,28.22000,32829,14538800
2018.02.15,28.52000,28.63000,28.20000,28.34000,23925,6760300
2018.02.16,28.40000,28.46000,28.17000,28.29000,17744,7202000
2018.02.19,28.39000,28.49000,28.05000,28.15000,15646,5419300
2018.02.20,27.95000,29.03000,27.95000,29.01000,27149,11503400
2018.02.21,29.11000,29.81000,28.99000,29.16000,29344,22078600
2018.02.22,29.26000,29.63000,29.10000,29.34000,26638,9183700
2018.02.23,29.50000,29.61000,28.96000,29.61000,17971,8626500
2018.02.26,29.69000,29.83000,29.35000,29.61000,20903,7629400
2018.02.27,29.51000,29.65000,29.18000,29.29000,19397,6793500
2018.02.28,29.25000,29.29000,28.36000,28.36000,36026,18437000
2018.03.01,28.47000,28.91000,28.21000,28.52000,27020,9367100
2018.03.02,28.27000,28.70000,27.98000,28.70000,22637,7410300
2018.03.05,28.67000,29.02000,28.37000,28.89000,19896,7112800
2018.03.06,29.31000,29.31000,28.94000,28.95000,24096,7814700
2018.03.07,28.95000,28.98000,28.22000,28.43000,24084,8780100
2018.03.08,28.74000,28.75000,27.84000,28.06000,26331,9975000
2018.03.09,28.21000,28.66000,28.16000,28.66000,24154,10564900
2018.03.12,28.80000,28.89000,28.59000,28.89000,10286,6551600
2018.03.13,29.02000,29.02000,28.37000,28.47000,18580,8010900
2018.03.14,28.51000,28.61000,27.99000,28.32000,17521,7499600
2018.03.15,28.07000,28.40000,27.82000,27.91000,28375,13278200
2018.03.16,27.93000,28.31000,27.85000,27.98000,22227,19258700
2018.03.19,27.72000,28.08000,27.53000,27.69000,24784,9548900
2018.03.20,27.88000,27.88000,27.48000,27.67000,16733,7181900
2018.03.21,27.79000,28.04000,27.67000,27.80000,23440,11041500
2018.03.22,27.78000,28.20000,27.64000,27.97000,29019,10175700
2018.03.23,27.71000,28.51000,27.71000,28.16000,25586,10774400
2018.03.26,28.54000,28.61000,27.93000,28.32000,32336,8217700
2018.03.27,28.40000,28.51000,27.82000,27.98000,16932,5686500
2018.03.28,27.74000,28.28000,27.67000,28.16000,20205,7092600
2018.03.29,28.32000,29.04000,28.29000,28.91000,29641,15388600
2018.04.02,28.70000,29.04000,28.52000,28.64000,22658,8119400
2018.04.03,28.96000,29.34000,28.74000,28.96000,25737,13543700
2018.04.04,28.67000,28.85000,28.20000,28.72000,19572,7975900
2018.04.05,29.44000,29.46000,28.43000,28.80000,48120,24041900
2018.04.06,28.80000,28.96000,28.28000,28.72000,24563,8755500
2018.04.09,28.72000,28.72000,27.61000,27.63000,28561,11423600
2018.04.10,27.86000,28.03000,27.43000,27.86000,21325,12565000
2018.04.11,27.84000,28.55000,27.76000,28.51000,20719,8447200
2018.04.12,28.51000,28.51000,27.75000,28.00000,33674,18105300
2018.04.13,27.71000,27.88000,27.31000,27.39000,25800,11071100
2018.04.16,27.45000,27.51000,26.65000,26.79000,28225,9971700
2018.04.17,26.84000,27.24000,26.66000,27.13000,24000,9267700
2018.04.18,27.37000,28.14000,27.23000,28.04000,34602,25201100
2018.04.19,27.72000,28.03000,27.64000,27.99000,29495,11928700
2018.04.20,27.68000,27.97000,27.51000,27.60000,18550,7438900
2018.04.23,27.54000,27.59000,27.24000,27.59000,20940,5620500
2018.04.24,27.87000,27.97000,27.48000,27.64000,19776,6974500
2018.04.25,27.36000,28.22000,27.27000,27.97000,27735,14483900
2018.04.26,28.21000,28.36000,27.56000,27.97000,36799,21362600
2018.04.27,28.51000,28.55000,28.04000,28.28000,25419,10026800
2018.04.30,28.27000,28.42000,27.73000,27.85000,15937,8575400
2018.05.02,27.55000,27.82000,27.03000,27.13000,29164,13043100
2018.05.03,27.09000,27.22000,26.46000,26.57000,28592,13179700
2018.05.04,26.47000,26.88000,26.28000,26.59000,22456,10136400
2018.05.07,26.51000,26.72000,26.34000,26.35000,24257,10180800
2018.05.08,26.11000,26.40000,25.91000,26.22000,36425,14053800
2018.05.09,26.30000,26.59000,26.03000,26.42000,21598,7610800
2018.05.10,26.51000,27.19000,26.49000,26.96000,24074,8864700
2018.05.11,26.96000,27.01000,26.34000,26.47000,24615,9084400
2018.05.14,26.55000,26.94000,25.82000,26.09000,34456,11720800
2018.05.15,25.55000,26.26000,25.33000,25.94000,31167,12698400
2018.05.16,25.93000,26.49000,25.79000,26.36000,15822,8081700
2018.05.17,26.21000,26.29000,25.26000,25.26000,44778,18402000
2018.05.18,24.77000,25.47000,24.18000,25.38000,56365,26266500
2018.05.21,25.43000,25.64000,24.86000,25.01000,37580,19926500
2018.05.22,25.25000,25.98000,25.13000,25.73000,39656,14810000
2018.05.23,25.39000,25.63000,24.99000,25.05000,23992,11744600
2018.05.24,24.92000,25.13000,24.58000,25.09000,25046,10485600
2018.05.25,25.21000,25.23000,24.31000,24.60000,28084,14932700
2018.05.28,24.26000,24.31000,23.53000,23.56000,27818,8488000
2018.05.29,23.93000,24.26000,23.53000,23.65000,40212,12748000
2018.05.30,23.61000,24.04000,23.44000,23.51000,45047,24589800
2018.06.01,23.85000,24.37000,23.47000,24.08000,35034,14525100
2018.06.04,24.37000,24.63000,24.14000,24.33000,24132,10278000
2018.06.05,24.12000,24.37000,23.05000,23.16000,30839,15201500
2018.06.06,22.92000,23.48000,22.52000,22.77000,30828,13828600
2018.06.07,22.23000,22.44000,21.33000,22.37000,55974,21817200
2018.06.08,22.20000,22.62000,21.45000,22.17000,41667,20066400
2018.06.11,22.24000,22.46000,21.58000,21.75000,29021,10065300
2018.06.12,21.77000,22.12000,21.48000,21.70000,26387,11898400
2018.06.13,21.84000,21.84000,20.85000,21.25000,43892,14371300
2018.06.14,21.33000,21.47000,20.39000,20.39000,46393,24999900
2018.06.15,20.36000,20.75000,20.05000,20.75000,57027,33307800
2018.06.18,20.52000,20.56000,20.01000,20.08000,32968,14240300
2018.06.19,19.93000,21.42000,19.91000,21.12000,47767,22018600
2018.06.20,21.46000,21.91000,21.03000,21.58000,41656,17881100
2018.06.21,21.41000,21.69000,20.56000,20.68000,28232,13075300
2018.06.22,21.00000,21.22000,20.68000,21.08000,21683,19879000
2018.06.25,21.25000,21.30000,20.51000,21.04000,28929,16833400
2018.06.26,21.21000,21.29000,20.61000,20.93000,23191,14839200
2018.06.27,20.94000,21.12000,20.42000,20.59000,23133,12034700
2018.06.28,20.54000,21.41000,20.54000,21.29000,20358,9818200
2018.06.29,21.47000,21.79000,21.25000,21.69000,27897,14819700
2018.07.02,21.35000,21.62000,21.28000,21.54000,20202,9817900
2018.07.03,21.78000,22.68000,21.69000,22.53000,27789,13061500
2018.07.04,22.56000,22.89000,22.32000,22.85000,19741,7845900
2018.07.05,22.95000,22.96000,22.25000,22.80000,24055,12987000
2018.07.06,22.73000,22.91000,22.39000,22.86000,20520,10011800
2018.07.10,22.99000,23.22000,22.24000,22.56000,26804,16118000
2018.07.11,22.36000,22.73000,22.16000,22.47000,23951,12336100
2018.07.12,22.73000,23.13000,22.67000,23.13000,24447,14618300
2018.07.13,23.05000,23.69000,22.94000,23.59000,30586,16565800
2018.07.16,23.57000,23.80000,23.38000,23.70000,27000,9526900
2018.07.17,23.64000,24.50000,23.55000,24.38000,36209,13630500
2018.07.18,24.29000,24.51000,23.62000,23.78000,28049,11787400
2018.07.19,23.41000,24.08000,23.16000,24.08000,28487,13823400
2018.07.20,24.91000,25.31000,24.59000,24.92000,46377,26986700
2018.07.23,24.66000,24.80000,24.47000,24.63000,25336,12813300
2018.07.24,24.92000,25.13000,24.75000,25.00000,29368,12673000
2018.07.25,25.17000,25.71000,24.96000,25.45000,39868,30307200
2018.07.26,25.77000,25.77000,24.49000,24.80000,31972,21149200
2018.07.27,25.01000,25.18000,24.77000,25.08000,24140,16732400
2018.07.30,25.16000,25.41000,24.95000,25.27000,22308,9181000
2018.07.31,25.16000,25.28000,24.67000,24.78000,27847,10639800
2018.08.01,24.54000,25.30000,24.51000,25.10000,19947,11576500
2018.08.02,24.85000,25.24000,24.69000,25.11000,16227,8117600
2018.08.03,25.26000,26.23000,25.26000,26.07000,34185,20219400
2018.08.06,26.15000,26.21000,25.73000,25.89000,22764,8432600
2018.08.07,25.99000,26.16000,25.21000,25.50000,32822,14635700
2018.08.08,25.46000,25.81000,24.76000,24.89000,29022,13576600
2018.08.09,24.87000,25.29000,24.48000,24.63000,26730,9080400
