Date,Open,High,Low,Close,Quantity,Volume
2018.05.11,3.07000,3.08000,2.97000,3.02000,880,3372000
2018.05.14,3.04000,3.06000,2.95000,3.02000,777,3024600
2018.05.15,3.02000,3.05000,2.97000,3.00000,1346,2524200
2018.05.16,3.00000,3.03000,3.00000,3.02000,291,772800
2018.05.17,3.02000,3.02000,3.00000,3.01000,211,410400
2018.05.18,3.02000,3.03000,2.95000,3.02000,653,1358400
2018.05.21,3.02000,3.02000,2.95000,2.97000,363,15786000
2018.05.22,3.00000,3.05000,2.99000,3.03000,379,4661400
2018.05.23,3.03000,3.11000,3.00000,3.11000,1013,1430400
2018.05.24,3.11000,3.11000,3.02000,3.02000,695,2501400
2018.05.25,3.03000,3.06000,2.93000,3.02000,929,2275200
2018.05.28,3.02000,3.04000,2.92000,2.96000,668,2440800
2018.05.29,2.97000,3.02000,2.95000,3.01000,770,2293200
2018.05.30,3.01000,3.03000,2.87000,2.87000,606,997800
2018.06.01,2.88000,2.98000,2.67000,2.82000,771,1434000
2018.06.04,2.85000,2.92000,2.79000,2.83000,1041,1701600
2018.06.05,2.83000,2.88000,2.64000,2.67000,2584,5128200
2018.06.06,2.68000,2.74000,2.54000,2.56000,435,555000
2018.06.07,2.54000,2.54000,2.24000,2.38000,910,1324200
2018.06.08,2.43000,2.52000,2.36000,2.44000,739,773400
2018.06.11,2.51000,2.62000,2.44000,2.54000,538,906600
2018.06.12,2.57000,2.67000,2.56000,2.62000,595,673800
2018.06.13,2.62000,2.67000,2.47000,2.57000,433,599400
2018.06.14,2.54000,2.62000,2.54000,2.55000,431,503400
2018.06.15,2.57000,2.59000,2.49000,2.51000,274,2107200
2018.06.18,2.50000,2.54000,2.46000,2.46000,261,264000
2018.06.19,2.46000,2.47000,2.40000,2.42000,921,1527000
2018.06.20,2.46000,2.47000,2.35000,2.35000,482,855000
2018.06.21,2.38000,2.38000,2.28000,2.28000,242,357000
2018.06.22,2.29000,2.34000,2.26000,2.29000,276,325800
2018.06.25,2.31000,2.34000,2.29000,2.30000,753,970800
2018.06.26,2.33000,2.33000,2.28000,2.32000,391,833400
2018.06.27,2.32000,2.34000,2.27000,2.27000,565,507000
2018.06.28,2.29000,2.37000,2.26000,2.32000,570,984600
2018.06.29,2.32000,2.37000,2.30000,2.37000,584,1251000
2018.07.02,2.39000,2.39000,2.26000,2.26000,1425,1323600
2018.07.03,2.28000,2.31000,2.23000,2.23000,545,796200
2018.07.04,2.26000,2.28000,2.25000,2.28000,118,200400
2018.07.05,2.28000,2.36000,2.28000,2.32000,745,8268000
2018.07.06,2.31000,2.36000,2.26000,2.27000,1013,3169200
2018.07.10,2.28000,2.33000,2.27000,2.27000,752,1169400
2018.07.11,2.28000,2.35000,2.27000,2.31000,487,698400
2018.07.12,2.31000,2.39000,2.31000,2.35000,468,897000
2018.07.13,2.36000,2.53000,2.36000,2.49000,684,1053600
2018.07.16,2.50000,2.71000,2.50000,2.70000,531,887400
2018.07.17,2.70000,2.88000,2.70000,2.81000,813,1054200
2018.07.18,2.82000,2.95000,2.82000,2.85000,580,979800
2018.07.19,2.89000,2.94000,2.68000,2.76000,1189,1809000
2018.07.20,2.81000,2.89000,2.78000,2.80000,547,816600
2018.07.23,2.80000,2.89000,2.77000,2.85000,491,652800
2018.07.24,2.86000,2.89000,2.85000,2.89000,308,363000
2018.07.25,2.89000,2.97000,2.84000,2.89000,385,660000
2018.07.26,2.93000,2.94000,2.84000,2.84000,230,264600
2018.07.27,2.90000,2.91000,2.84000,2.84000,204,210000
2018.07.30,2.85000,2.90000,2.81000,2.83000,239,246600
2018.07.31,2.87000,2.87000,2.75000,2.81000,312,453600
2018.08.01,2.88000,2.97000,2.82000,2.83000,1213,1331400
2018.08.02,2.85000,2.91000,2.84000,2.88000,551,1618800
2018.08.03,2.89000,2.93000,2.86000,2.92000,634,2999400
2018.08.06,2.94000,3.14000,2.94000,3.14000,1173,2835000
2018.08.07,3.14000,3.18000,3.02000,3.08000,1151,2092800
2018.08.08,3.11000,3.31000,3.10000,3.27000,1412,2010600
2018.08.09,3.28000,3.42000,3.28000,3.40000,1006,4480200
2018.08.10,3.40000,3.40000,3.28000,3.39000,655,985200
2018.08.13,3.37000,3.55000,3.31000,3.53000,1032,1391400
2018.08.14,3.54000,3.62000,3.50000,3.59000,872,2460600
2018.08.15,3.58000,3.83000,3.55000,3.82000,1495,2293200
2018.08.16,3.87000,4.00000,3.87000,3.95000,1592,3808200
2018.08.17,3.95000,3.95000,3.55000,3.70000,2054,2865000
2018.08.20,3.70000,3.77000,3.50000,3.67000,1548,2198400
2018.08.21,3.68000,3.86000,3.55000,3.70000,1301,1645200
2018.08.22,3.70000,3.77000,3.56000,3.64000,1578,3685800
2018.08.23,3.65000,3.78000,3.58000,3.58000,1032,4849800
2018.08.24,3.60000,3.68000,3.50000,3.58000,873,998400
2018.08.27,3.64000,3.80000,3.59000,3.80000,1773,2572800
2018.08.28,3.83000,4.05000,3.83000,4.05000,1452,2736600
2018.08.29,4.07000,4.22000,3.89000,3.97000,1899,3471600
2018.08.30,4.00000,4.18000,4.00000,4.17000,1486,5950800
2018.08.31,4.17000,4.46000,4.17000,4.43000,1232,6911400
2018.09.03,4.49000,4.69000,4.45000,4.63000,2030,6448200
2018.09.04,4.70000,5.11000,4.64000,4.88000,3783,8498400
2018.09.05,4.94000,5.31000,4.94000,5.12000,4411,7453200
2018.09.06,5.29000,5.39000,4.77000,4.88000,4127,7736400
2018.09.10,4.91000,5.12000,4.54000,4.60000,2784,3970200
2018.09.11,4.55000,4.55000,4.30000,4.52000,1832,2354400
2018.09.12,4.43000,4.89000,4.30000,4.89000,3565,7325400
