Date,Open,High,Low,Close,Quantity,Volume
2009.06.03,2.91000,2.91000,2.78000,2.85000,9947,19146169
2009.06.04,2.85000,2.88000,2.79000,2.86000,4642,13894913
2009.06.05,2.90000,2.92000,2.79000,2.84000,7359,16036920
2009.06.08,2.80000,2.87000,2.79000,2.85000,9749,11630539
2009.06.09,2.86000,2.88000,2.79000,2.82000,4514,8168264
2009.06.10,2.86000,2.87000,2.76000,2.81000,7300,12835334
2009.06.12,2.83000,2.85000,2.78000,2.84000,6334,14070719
2009.06.15,2.81000,2.82000,2.68000,2.76000,4811,12947290
2009.06.16,2.77000,2.79000,2.71000,2.73000,3402,9507118
2009.06.17,2.68000,2.72000,2.66000,2.72000,7513,18648651
2009.06.18,2.72000,2.74000,2.67000,2.70000,8373,12047583
2009.06.19,2.72000,2.76000,2.70000,2.75000,5756,13823650
2009.06.22,2.71000,2.72000,2.67000,2.71000,9321,14949913
2009.06.23,2.72000,2.73000,2.67000,2.72000,11848,24346669
2009.06.24,2.72000,2.72000,2.66000,2.69000,9490,22032589
2009.06.25,2.68000,2.78000,2.68000,2.77000,8693,16948284
2009.06.26,2.76000,2.82000,2.75000,2.79000,7740,10855344
2009.06.29,2.81000,2.85000,2.79000,2.82000,8229,13808440
2009.06.30,2.82000,2.84000,2.75000,2.81000,7381,14863076
2009.07.01,2.82000,2.87000,2.81000,2.85000,9461,21277905
2009.07.02,2.81000,2.85000,2.80000,2.82000,5128,7762712
2009.07.03,2.83000,2.85000,2.80000,2.80000,2760,4428833
2009.07.06,2.78000,2.83000,2.75000,2.83000,8327,10550802
2009.07.07,2.83000,2.83000,2.77000,2.80000,7986,16772481
2009.07.08,2.80000,2.81000,2.73000,2.76000,9084,14661087
2009.07.10,2.76000,2.77000,2.70000,2.71000,5149,11083162
2009.07.13,2.73000,2.75000,2.67000,2.72000,9931,10706602
2009.07.14,2.74000,2.74000,2.66000,2.70000,5849,15034629
2009.07.15,2.74000,2.84000,2.74000,2.80000,12151,18630272
2009.07.16,2.80000,2.85000,2.76000,2.83000,11815,15552309
2009.07.17,2.83000,2.85000,2.81000,2.83000,9008,8958483
2009.07.20,2.84000,2.92000,2.84000,2.92000,5883,19262187
2009.07.21,2.92000,2.95000,2.86000,2.92000,6494,14227254
2009.07.22,2.89000,2.96000,2.87000,2.94000,7337,11372314
2009.07.23,2.96000,3.08000,2.94000,3.06000,9236,32736544
2009.07.24,3.04000,3.11000,3.03000,3.11000,12925,14042078
2009.07.27,3.12000,3.14000,3.05000,3.09000,7251,12810042
2009.07.28,3.06000,3.10000,3.03000,3.10000,8497,9342279
2009.07.29,3.08000,3.08000,3.02000,3.07000,5563,10331826
2009.07.30,3.09000,3.13000,3.09000,3.09000,4389,11697760
2009.07.31,3.07000,3.12000,3.04000,3.09000,4559,12564019
2009.08.03,3.11000,3.13000,3.09000,3.10000,4689,8012794
2009.08.04,3.10000,3.15000,3.09000,3.14000,5311,10288326
2009.08.05,3.14000,3.22000,3.09000,3.19000,7335,12840291
2009.08.06,3.20000,3.21000,3.14000,3.18000,10517,18213223
2009.08.07,3.19000,3.29000,3.19000,3.26000,8233,18714976
2009.08.10,3.24000,3.28000,3.24000,3.28000,8385,13962829
2009.08.11,3.25000,3.27000,3.14000,3.16000,7871,18974973
2009.08.12,3.16000,3.18000,3.13000,3.16000,6268,16283465
2009.08.13,3.18000,3.18000,3.06000,3.09000,10499,15120594
2009.08.14,3.08000,3.11000,2.97000,3.03000,11515,21965032
2009.08.17,2.97000,2.98000,2.94000,2.95000,5518,10013300
2009.08.18,2.98000,3.06000,2.97000,3.04000,6291,12851956
2009.08.19,3.02000,3.10000,2.99000,3.10000,7350,11742499
2009.08.20,3.10000,3.13000,3.09000,3.12000,7242,12334816
2009.08.21,3.13000,3.17000,3.08000,3.11000,7484,12979481
2009.08.24,3.13000,3.18000,3.11000,3.13000,5314,13356373
2009.08.25,3.15000,3.20000,3.13000,3.17000,7150,19897480
2009.08.26,3.17000,3.23000,3.15000,3.23000,4631,21479526
2009.08.27,3.23000,3.24000,3.16000,3.21000,4775,14016780
2009.08.28,3.21000,3.24000,3.18000,3.20000,3530,11866651
2009.08.31,3.17000,3.17000,3.10000,3.14000,5871,19928095
2009.09.01,3.14000,3.17000,3.06000,3.10000,9776,15875796
2009.09.02,3.09000,3.12000,3.04000,3.06000,10411,16511964
