Date,Open,High,Low,Close,Quantity,Volume
2010.01.04,29.14000,29.43000,29.04000,29.43000,13529,13303600
2010.01.05,29.48000,29.52000,29.02000,29.18000,22782,21396400
2010.01.06,29.02000,29.57000,29.02000,29.57000,18647,18720600
2010.01.07,29.39000,29.53000,29.24000,29.30000,12720,10964600
2010.01.08,29.31000,29.49000,29.07000,29.14000,14192,14624200
2010.01.11,29.35000,29.45000,28.88000,29.05000,16438,15317700
2010.01.12,28.86000,28.93000,28.42000,28.68000,18226,14886200
2010.01.13,28.83000,28.97000,28.27000,28.63000,23390,23228200
2010.01.14,28.61000,28.75000,28.04000,28.13000,21130,20075200
2010.01.15,28.05000,28.47000,28.00000,28.19000,19681,21169000
2010.01.18,28.31000,28.92000,28.21000,28.82000,17270,23168400
2010.01.19,28.75000,28.90000,28.58000,28.69000,14555,16895900
2010.01.20,28.47000,28.51000,27.81000,27.96000,17871,18777500
2010.01.21,28.06000,28.15000,27.04000,27.07000,24874,24553000
2010.01.22,26.90000,27.44000,26.86000,27.41000,17736,19627100
2010.01.26,27.04000,27.08000,26.54000,26.74000,18713,20281200
2010.01.27,26.74000,27.04000,26.43000,26.90000,24639,19908600
2010.01.28,27.29000,27.36000,26.71000,27.30000,12952,13819200
2010.01.29,27.43000,27.64000,26.76000,26.95000,15698,16108700
2010.02.01,27.04000,27.20000,26.74000,27.05000,13168,15869300
2010.02.02,27.22000,27.34000,26.86000,26.89000,15765,15289600
2010.02.03,26.85000,26.96000,26.60000,26.85000,14085,16091200
2010.02.04,26.69000,26.77000,25.33000,25.47000,23120,24280300
2010.02.05,25.08000,25.45000,24.23000,24.86000,27113,29033800
2010.02.08,25.08000,25.44000,24.78000,25.03000,14446,18684700
2010.02.09,25.39000,25.77000,25.32000,25.43000,14651,18104200
2010.02.10,25.50000,25.81000,25.06000,25.74000,16159,21910900
2010.02.11,25.94000,26.40000,25.81000,26.31000,19490,24109000
2010.02.12,26.03000,26.83000,25.99000,26.66000,16425,19333100
2010.02.17,27.12000,27.21000,26.84000,27.01000,16755,16625900
2010.02.18,27.00000,27.36000,26.67000,27.36000,15697,17017800
2010.02.19,27.15000,27.33000,26.94000,27.09000,12407,11889400
2010.02.22,27.21000,27.52000,27.14000,27.33000,24336,19817500
2010.02.23,27.14000,27.33000,26.81000,26.96000,16425,16937500
2010.02.24,27.04000,27.09000,26.53000,26.77000,11916,13561000
2010.02.25,26.40000,27.21000,26.23000,27.11000,17164,18650100
2010.02.26,27.28000,27.41000,26.98000,27.30000,15690,17804300
2010.03.01,27.46000,27.64000,27.15000,27.55000,16910,16959300
2010.03.02,27.80000,28.01000,27.70000,27.70000,15493,17109100
2010.03.03,27.82000,28.25000,27.64000,27.72000,16879,20134400
2010.03.04,27.91000,27.99000,27.45000,27.76000,13613,14068900
2010.03.05,28.15000,28.33000,27.92000,28.24000,17688,28235000
2010.03.08,28.34000,28.38000,27.93000,28.15000,11290,15903300
2010.03.09,28.00000,29.06000,27.97000,28.79000,26010,68696600
2010.03.10,29.09000,29.31000,28.90000,29.18000,23653,32199000
2010.03.11,29.12000,29.55000,29.03000,29.22000,16135,19449600
2010.03.12,29.34000,29.50000,29.23000,29.23000,13238,13940300
2010.03.15,28.99000,29.36000,28.76000,29.00000,18371,19844600
2010.03.16,29.12000,29.35000,28.94000,29.35000,11768,12807500
2010.03.17,29.52000,29.56000,29.12000,29.30000,11144,10306100
2010.03.18,29.29000,29.50000,28.99000,29.20000,10150,12061700
2010.03.19,29.18000,29.25000,28.52000,28.57000,21137,24306500
2010.03.22,28.08000,28.68000,28.00000,28.58000,13189,13489200
2010.03.23,28.69000,28.72000,28.16000,28.25000,16059,17207000
2010.03.24,28.23000,28.84000,28.08000,28.46000,17203,19783500
2010.03.25,28.65000,28.73000,27.76000,27.76000,18202,17698800
2010.03.26,27.93000,28.04000,27.05000,27.21000,33205,28820500
2010.03.29,27.40000,27.76000,26.91000,27.52000,15494,19312800
2010.03.30,27.67000,27.84000,27.41000,27.44000,10889,12365900
2010.03.31,27.29000,27.91000,27.22000,27.91000,17185,16551700
2010.04.01,28.12000,28.31000,28.04000,28.19000,13729,13721900
2010.04.05,28.35000,28.59000,28.25000,28.40000,11875,12120300
2010.04.06,28.33000,28.71000,28.26000,28.45000,11856,13416200
2010.04.07,28.34000,28.58000,28.07000,28.23000,17080,15082200
2010.04.08,28.06000,28.31000,27.97000,28.24000,11560,13552100
2010.04.09,28.23000,28.46000,27.78000,27.78000,16024,17017800
2010.04.12,27.80000,27.94000,27.03000,27.12000,19043,29883800
2010.04.13,27.18000,27.28000,26.74000,26.96000,26412,19661600
2010.04.14,27.05000,27.20000,26.85000,27.01000,16647,17377900
2010.04.15,27.03000,27.17000,26.45000,26.50000,30313,43410700
2010.04.16,26.42000,26.48000,25.80000,25.99000,35887,48889400
2010.04.19,25.71000,26.46000,25.64000,26.46000,19326,24002700
2010.04.20,26.66000,27.05000,26.66000,27.05000,19351,22158800
2010.04.22,26.74000,26.85000,26.35000,26.70000,17555,19892800
2010.04.23,26.68000,27.02000,26.66000,27.02000,11400,12312800
2010.04.26,27.10000,27.17000,26.47000,26.47000,12297,13824600
2010.04.27,26.28000,26.31000,25.51000,25.51000,21394,23019700
2010.04.28,25.69000,26.23000,25.35000,25.74000,19585,17380900
2010.04.29,26.10000,26.31000,25.85000,26.24000,12531,11932800
2010.04.30,26.08000,26.39000,25.88000,26.07000,16360,15687800
2010.05.03,25.87000,25.93000,25.00000,25.04000,25458,28849400
2010.05.04,24.80000,24.85000,23.77000,24.19000,38051,39270400
2010.05.05,23.84000,24.49000,23.65000,24.01000,28444,29471100
2010.05.06,23.91000,24.46000,22.49000,23.69000,32592,32017500
2010.05.07,23.84000,24.09000,23.16000,23.64000,26518,24452400
2010.05.10,24.64000,24.72000,23.96000,23.96000,23021,20923900
2010.05.11,23.70000,24.07000,23.53000,23.54000,17545,17078900
2010.05.12,23.80000,23.84000,23.58000,23.76000,13641,15380800
2010.05.13,24.00000,24.17000,23.80000,23.84000,17703,16117600
2010.05.14,23.68000,23.92000,23.29000,23.91000,21071,24270200
2010.05.17,24.00000,24.15000,23.49000,23.72000,23352,26530800
2010.05.18,23.94000,23.95000,23.18000,23.22000,22277,17679200
2010.05.19,22.98000,23.42000,22.69000,22.69000,26295,24902900
2010.05.20,22.25000,22.33000,21.80000,21.80000,27537,25605300
2010.05.21,21.84000,22.29000,21.56000,21.92000,33608,28529000
2010.05.24,21.94000,22.24000,21.70000,21.74000,18203,14996100
2010.05.25,21.06000,21.39000,20.82000,21.26000,28997,24228700
2010.05.26,21.63000,21.95000,21.32000,21.66000,20760,20487400
2010.05.27,22.02000,22.35000,21.94000,22.26000,19257,18332900
2010.05.28,22.30000,22.58000,22.14000,22.58000,17128,20301300
2010.05.31,22.59000,23.70000,22.59000,23.70000,14169,14270600
2010.06.01,23.22000,23.77000,22.80000,22.94000,30974,25987900
2010.06.02,22.93000,23.50000,22.93000,23.30000,16293,13859100
2010.06.04,23.11000,23.76000,23.02000,23.42000,18422,15177000
2010.06.07,23.58000,24.08000,23.48000,23.63000,18596,16452000
2010.06.08,23.83000,24.04000,23.57000,23.75000,16129,16120800
2010.06.09,23.94000,24.32000,23.66000,23.66000,18941,20135000
2010.06.10,24.02000,24.22000,23.83000,23.94000,17117,17889600
2010.06.11,23.77000,23.87000,23.55000,23.71000,12820,11613000
2010.06.14,23.94000,23.97000,23.23000,23.26000,16167,15282500
2010.06.15,23.30000,23.41000,23.00000,23.22000,14990,12607800
2010.06.16,23.10000,23.86000,23.06000,23.74000,22911,24436900
2010.06.17,23.78000,23.90000,23.47000,23.63000,13660,15576800
2010.06.18,23.62000,23.75000,23.42000,23.61000,11359,12366200
2010.06.21,23.79000,23.99000,23.52000,23.54000,19077,23758300
2010.06.22,23.53000,23.71000,23.23000,23.31000,20399,19578200
2010.06.23,23.38000,23.48000,22.71000,22.82000,19186,24118000
2010.06.24,22.78000,22.78000,22.01000,22.01000,27656,21828900
2010.06.25,21.90000,22.46000,21.86000,22.35000,13494,10738000
2010.06.28,22.35000,22.47000,21.89000,21.95000,9275,7278900
2010.06.29,21.62000,21.70000,21.38000,21.48000,15939,26498700
2010.06.30,21.58000,22.02000,21.47000,21.50000,16681,18010900
2010.07.01,21.70000,21.78000,21.06000,21.18000,20770,18632300
2010.07.02,21.39000,21.61000,21.23000,21.43000,12226,10088300
2010.07.05,21.44000,21.66000,21.25000,21.25000,9154,6881400
2010.07.06,21.62000,21.86000,21.42000,21.66000,18064,15896300
2010.07.07,21.66000,22.03000,21.44000,21.94000,17746,16555400
2010.07.08,22.00000,22.13000,21.78000,22.08000,11687,10498100
2010.07.12,22.11000,22.21000,21.76000,21.80000,10670,9365000
2010.07.13,21.94000,22.01000,21.67000,21.86000,15407,12667200
2010.07.14,21.66000,21.94000,21.56000,21.86000,10812,11099800
2010.07.15,21.86000,21.86000,21.51000,21.70000,10401,7914000
2010.07.16,21.65000,21.69000,21.38000,21.49000,10276,9806100
2010.07.19,21.50000,21.66000,21.36000,21.58000,10796,12468700
2010.07.20,21.43000,22.27000,21.38000,22.14000,18473,16035400
2010.07.21,22.28000,22.46000,21.93000,22.02000,12689,11651800
2010.07.22,22.29000,22.64000,22.16000,22.40000,13165,13382700
2010.07.23,22.41000,22.46000,22.09000,22.25000,10879,12762200
2010.07.26,22.25000,22.45000,22.18000,22.34000,9805,7666200
2010.07.27,22.42000,22.55000,22.30000,22.40000,11989,10359400
2010.07.28,22.38000,22.46000,22.20000,22.26000,11728,11317300
2010.07.29,22.29000,22.38000,22.12000,22.21000,10282,10324200
2010.07.30,22.14000,22.36000,21.98000,22.30000,12990,12928700
2010.08.02,22.55000,23.03000,22.54000,22.93000,23601,17740200
2010.08.03,22.90000,23.81000,22.74000,23.45000,28275,24018500
2010.08.04,23.67000,23.82000,23.43000,23.66000,19146,20894700
2010.08.05,23.60000,23.77000,23.46000,23.73000,15355,11125200
2010.08.06,23.54000,23.75000,23.34000,23.46000,13626,11196700
2010.08.09,23.67000,23.67000,23.22000,23.25000,9865,10252900
2010.08.10,23.08000,23.08000,22.72000,22.91000,22357,16439600
2010.08.11,22.61000,22.71000,22.17000,22.17000,21432,16895900
2010.08.12,22.08000,22.46000,21.93000,22.20000,14815,13560300
2010.08.13,22.30000,22.43000,22.17000,22.30000,13589,12344200
2010.08.16,22.26000,22.42000,22.25000,22.26000,12420,15292800
2010.08.17,22.38000,23.02000,22.38000,22.82000,17531,15546700
2010.08.18,22.81000,22.86000,22.26000,22.32000,21950,20458600
2010.08.19,21.70000,22.09000,21.54000,21.59000,26438,26365800
2010.08.20,21.57000,21.84000,21.42000,21.59000,17605,17204600
2010.08.23,21.71000,21.92000,21.50000,21.50000,12823,10445000
2010.08.24,21.37000,21.65000,21.08000,21.08000,18220,15741900
2010.08.25,21.02000,21.20000,20.56000,21.03000,21988,21490600
2010.08.26,21.53000,21.53000,20.72000,20.72000,19000,22021900
2010.08.27,20.92000,21.44000,20.66000,21.42000,18046,14878800
2010.08.30,21.25000,21.31000,20.52000,20.52000,24295,22067300
2010.08.31,20.58000,21.01000,20.58000,21.01000,14624,15881100
2010.09.01,21.21000,21.92000,21.09000,21.80000,19557,19351200
2010.09.02,21.68000,22.70000,21.56000,22.25000,28575,26761400
2010.09.03,22.82000,23.32000,22.62000,23.22000,38222,46200200
2010.09.06,23.53000,23.62000,23.09000,23.46000,26642,19635800
2010.09.08,22.83000,22.96000,22.41000,22.44000,27999,32338400
2010.09.09,22.62000,22.69000,21.92000,22.25000,17439,20191800
2010.09.10,22.17000,22.53000,22.10000,22.19000,14906,16665300
2010.09.13,22.38000,22.84000,22.21000,22.82000,23901,24171200
2010.09.14,22.73000,23.04000,21.65000,21.65000,31398,39196800
2010.09.15,20.96000,21.45000,20.76000,21.33000,33153,40928700
2010.09.16,21.05000,21.51000,21.01000,21.25000,17732,20309300
2010.09.17,21.07000,21.40000,21.05000,21.32000,18416,18012500
2010.09.20,21.30000,22.12000,21.13000,21.85000,27607,26857600
2010.09.21,21.87000,21.97000,21.25000,21.25000,23919,28615300
2010.09.22,21.04000,21.31000,20.82000,20.95000,37029,43614700
2010.09.23,20.90000,22.14000,20.90000,21.61000,38781,55285600
2010.09.24,21.81000,21.84000,21.21000,21.21000,42023,85893300
2010.09.27,21.24000,21.52000,21.01000,21.37000,38408,57987900
2010.09.28,21.58000,21.68000,21.33000,21.53000,23514,34634300
2010.09.29,21.45000,22.17000,21.40000,22.17000,36174,77343700
2010.09.30,22.30000,22.54000,21.95000,22.00000,25990,35549800
2010.10.01,22.24000,22.34000,22.02000,22.17000,24754,22431100
2010.10.04,22.16000,22.46000,22.05000,22.08000,30956,25001100
2010.10.05,22.25000,22.25000,21.58000,21.75000,33646,42377800
2010.10.06,21.61000,21.68000,20.63000,20.85000,46083,67574200
2010.10.07,21.01000,21.01000,19.87000,20.40000,41064,59209700
2010.10.08,20.33000,20.96000,20.06000,20.96000,27303,32771000
2010.10.11,21.05000,21.13000,20.79000,20.84000,14807,14388300
2010.10.13,20.98000,21.04000,20.63000,20.73000,32705,30156000
2010.10.14,20.69000,21.32000,20.51000,21.32000,35813,40386400
2010.10.15,21.39000,21.48000,21.11000,21.20000,23940,26691200
2010.10.18,21.09000,21.37000,20.94000,21.29000,31774,28001900
2010.10.19,20.92000,21.06000,20.38000,20.38000,28299,31746200
2010.10.20,20.54000,20.67000,20.15000,20.15000,22525,30872600
2010.10.21,20.20000,20.34000,19.43000,19.48000,40694,44679400
2010.10.22,19.72000,19.92000,19.27000,19.52000,29653,28738200
2010.10.25,19.71000,19.99000,19.63000,19.81000,20295,21647100
2010.10.26,19.77000,21.17000,19.71000,20.84000,38982,46812400
2010.10.27,20.72000,21.81000,20.35000,21.12000,45280,56750100
2010.10.28,21.36000,21.64000,20.86000,21.17000,31139,36697700
2010.10.29,21.44000,21.44000,20.84000,20.84000,31614,31585700
2010.11.01,21.01000,21.50000,20.91000,21.36000,22473,22132600
2010.11.03,21.64000,21.97000,21.48000,21.88000,30058,36288300
2010.11.04,22.17000,22.40000,22.06000,22.29000,34737,32455000
2010.11.05,22.23000,22.41000,22.09000,22.09000,15946,16761300
2010.11.08,21.97000,22.35000,21.97000,22.31000,22272,25051600
2010.11.09,22.39000,22.51000,21.98000,21.98000,19864,20758200
2010.11.10,21.97000,22.09000,21.78000,21.99000,16233,21229300
2010.11.11,21.94000,21.97000,21.60000,21.66000,20771,27355900
2010.11.12,21.27000,21.39000,20.93000,20.95000,29318,41525500
2010.11.16,20.95000,21.00000,20.37000,20.59000,32710,32184300
2010.11.17,20.66000,20.82000,20.49000,20.63000,18082,16842800
2010.11.18,20.95000,21.15000,20.84000,20.99000,19222,24640000
2010.11.19,20.83000,20.87000,20.60000,20.83000,15410,16481500
2010.11.22,20.78000,20.81000,20.22000,20.31000,21254,19249900
2010.11.23,20.01000,20.21000,19.87000,19.98000,26207,27569300
2010.11.24,20.18000,20.56000,20.06000,20.46000,18013,23972500
2010.11.25,20.55000,20.55000,20.14000,20.14000,10931,8896300
2010.11.26,19.99000,20.13000,19.80000,19.94000,19969,17078100
2010.11.29,19.90000,20.22000,19.83000,20.02000,21207,18657100
2010.11.30,20.01000,20.34000,19.87000,19.93000,19220,28357900
2010.12.01,20.29000,20.54000,20.24000,20.47000,21802,22328400
2010.12.02,20.63000,20.82000,20.51000,20.59000,27200,19060800
2010.12.03,20.63000,20.83000,20.45000,20.83000,14198,15838500
2010.12.06,20.88000,21.11000,20.84000,20.96000,17811,17859600
2010.12.07,21.24000,21.31000,20.55000,20.55000,22541,27050000
2010.12.08,20.57000,20.67000,20.26000,20.26000,23078,21494200
2010.12.09,20.40000,20.67000,20.34000,20.59000,20136,21341600
2010.12.10,20.75000,20.86000,20.63000,20.83000,15351,14107600
2010.12.13,20.99000,21.15000,20.98000,21.00000,15555,16896400
2010.12.14,20.94000,21.11000,20.85000,20.94000,15884,15664600
2010.12.15,20.74000,20.84000,20.56000,20.56000,19919,23538200
2010.12.16,20.67000,20.79000,20.47000,20.55000,14665,15651800
2010.12.17,20.45000,21.03000,20.30000,21.03000,18515,17747100
2010.12.20,21.03000,21.12000,20.73000,20.73000,19327,31821000
2010.12.21,20.94000,21.02000,20.84000,20.89000,18244,16018600
2010.12.22,20.88000,21.01000,20.80000,21.01000,12747,11576500
2010.12.23,20.94000,21.13000,20.88000,21.03000,12199,12437000
2010.12.27,20.88000,21.31000,20.85000,21.28000,13029,12045200
2010.12.28,21.48000,21.82000,21.41000,21.78000,23947,21577300
2010.12.29,21.87000,22.19000,21.87000,22.03000,21411,20295300
2010.12.30,22.29000,22.41000,22.13000,22.29000,29287,29619400
2011.01.03,22.46000,22.53000,21.98000,22.05000,26476,22738500
2011.01.04,22.06000,22.10000,21.56000,21.97000,34002,30936600
2011.01.05,21.79000,22.34000,21.71000,22.23000,22874,24306800
2011.01.06,22.22000,22.43000,22.06000,22.14000,18676,24328800
2011.01.07,22.07000,22.20000,21.83000,21.83000,18567,17453800
2011.01.10,21.77000,22.07000,21.71000,22.04000,12721,14366200
2011.01.11,22.14000,22.38000,22.11000,22.18000,17862,23190100
2011.01.12,22.37000,22.86000,22.32000,22.79000,28214,39193500
2011.01.13,22.87000,22.97000,22.31000,22.31000,24237,31826100
2011.01.14,22.28000,22.63000,22.26000,22.50000,14655,20220300
2011.01.17,22.40000,22.68000,22.35000,22.42000,20756,19288800
2011.01.18,22.59000,22.68000,22.38000,22.64000,20757,22139400
2011.01.19,22.71000,22.83000,22.26000,22.30000,18475,22631600
2011.01.20,22.18000,22.48000,22.02000,22.28000,19030,21486200
2011.01.21,22.39000,22.47000,22.10000,22.10000,13688,18127100
2011.01.24,22.12000,22.26000,21.90000,22.05000,13671,10765700
2011.01.26,22.13000,22.32000,21.82000,21.92000,23821,21396900
2011.01.27,22.01000,22.18000,21.82000,21.95000,21790,18552100
2011.01.28,22.10000,22.12000,21.44000,21.79000,24536,28037200
2011.01.31,21.94000,22.26000,21.78000,22.13000,30733,33947200
2011.02.01,22.30000,22.64000,22.14000,22.58000,25899,28784500
2011.02.02,22.54000,22.86000,22.46000,22.71000,29719,33156700
2011.02.03,22.68000,22.97000,22.63000,22.90000,27209,27639400
2011.02.04,22.90000,23.05000,22.51000,22.56000,21375,27702000
2011.02.07,22.71000,22.77000,22.14000,22.23000,25051,23873700
2011.02.08,22.08000,22.33000,21.91000,22.02000,31959,31261000
2011.02.09,21.94000,22.03000,21.33000,21.38000,27667,32618500
2011.02.10,21.40000,21.84000,21.37000,21.46000,18912,18608400
2011.02.11,21.61000,21.81000,21.48000,21.56000,17448,19504200
2011.02.14,21.57000,21.98000,21.43000,21.85000,19136,18258200
2011.02.15,21.79000,22.32000,21.75000,22.03000,26211,27939600
2011.02.16,22.22000,22.42000,22.11000,22.31000,20391,24193500
2011.02.17,22.38000,22.41000,22.09000,22.26000,16979,19143600
2011.02.18,22.19000,22.41000,22.14000,22.36000,22326,16769000
2011.02.21,22.44000,22.59000,22.26000,22.38000,17526,22194200
2011.02.22,22.43000,22.83000,22.42000,22.68000,40290,36600900
2011.02.23,22.80000,23.61000,22.71000,23.45000,61266,62621600
2011.02.24,23.73000,23.90000,23.17000,23.17000,55663,50420200
2011.02.25,23.21000,23.48000,22.99000,23.36000,32952,27201000
2011.02.28,23.23000,23.43000,23.00000,23.35000,28675,28891100
2011.03.01,23.28000,23.52000,23.03000,23.11000,21484,26547900
2011.03.02,23.12000,23.66000,23.01000,23.61000,29936,25808400
2011.03.03,23.62000,23.66000,23.36000,23.66000,17394,17305300
2011.03.04,23.69000,23.83000,23.46000,23.75000,19977,21019800
2011.03.09,23.55000,23.58000,23.30000,23.32000,14596,15883700
2011.03.10,23.20000,23.22000,22.77000,22.97000,22658,22751200
2011.03.11,22.83000,23.20000,22.60000,23.01000,19928,20803900
2011.03.14,22.87000,23.21000,22.77000,23.10000,15983,13554000
2011.03.15,22.42000,23.01000,22.42000,22.90000,24228,22515300
2011.03.16,23.00000,23.21000,22.55000,22.69000,32309,33678600
2011.03.17,22.99000,23.03000,22.77000,22.94000,19248,16511000
