Date,Open,High,Low,Close,Quantity,Volume
2009.05.25,25.77000,25.94000,25.64000,25.83000,701,480400
2009.05.26,25.55000,26.44000,25.25000,26.37000,4127,3671800
2009.05.27,26.20000,26.68000,25.67000,25.67000,3434,3686400
2009.05.28,26.04000,26.32000,25.73000,26.30000,4411,4577400
2009.05.29,26.65000,26.79000,25.66000,25.79000,3661,3790300
2009.06.01,26.45000,27.16000,26.38000,27.06000,5941,4283100
2009.06.02,26.89000,26.90000,26.04000,26.14000,4348,4179000
2009.06.03,25.98000,25.98000,24.85000,25.05000,8496,5702700
2009.06.04,25.16000,25.70000,24.62000,25.62000,3680,3205800
2009.06.05,26.77000,26.77000,25.71000,25.90000,5352,5320900
2009.06.08,25.49000,26.21000,25.17000,26.04000,3930,3063900
2009.06.09,26.19000,26.42000,25.67000,26.05000,3937,2857900
2009.06.10,26.45000,26.59000,25.91000,26.28000,3743,2415400
2009.06.12,26.65000,26.76000,25.84000,26.13000,5131,3348600
2009.06.15,25.71000,25.81000,25.16000,25.61000,6187,5619600
2009.06.16,25.77000,25.98000,25.12000,25.16000,6377,5442400
2009.06.17,25.03000,25.21000,24.53000,24.97000,6290,4425000
2009.06.18,25.03000,25.06000,24.55000,24.82000,3132,2774100
2009.06.19,25.06000,25.11000,24.73000,24.79000,2778,2219800
2009.06.22,24.49000,24.49000,23.35000,23.45000,5704,5121300
2009.06.23,23.60000,23.80000,23.14000,23.64000,3970,2684800
2009.06.24,23.99000,24.09000,23.07000,23.10000,3444,2674300
2009.06.25,23.06000,23.87000,22.73000,23.87000,4812,3791200
2009.06.26,23.75000,23.93000,23.31000,23.47000,4736,3296600
2009.06.29,23.72000,23.77000,23.44000,23.68000,2924,1870400
2009.06.30,23.77000,23.82000,23.08000,23.40000,3792,2889000
2009.07.01,23.54000,24.02000,23.40000,23.49000,5021,3659400
2009.07.02,23.20000,23.49000,22.90000,23.30000,3346,2364100
2009.07.03,23.48000,23.48000,23.11000,23.18000,1253,932400
2009.07.06,22.82000,22.88000,22.43000,22.77000,5043,3493200
2009.07.07,22.53000,22.66000,21.49000,21.63000,4058,3655600
2009.07.08,21.75000,22.18000,21.39000,22.08000,5997,4673400
2009.07.10,22.04000,22.04000,21.70000,22.04000,2908,2037700
2009.07.13,22.11000,22.24000,21.43000,22.04000,3796,2616300
2009.07.14,22.24000,22.35000,21.84000,21.85000,3398,2746700
2009.07.15,22.38000,23.70000,22.38000,23.55000,5894,5968100
2009.07.16,23.39000,23.79000,23.11000,23.59000,3148,3115100
2009.07.17,23.60000,23.75000,23.34000,23.57000,2799,1917600
2009.07.20,23.81000,24.55000,23.58000,24.47000,3432,2485200
2009.07.21,24.69000,24.91000,24.21000,24.75000,4519,2575700
2009.07.22,24.27000,24.76000,24.17000,24.25000,4972,3493900
2009.07.23,24.52000,25.04000,24.25000,24.76000,4135,5755500
2009.07.24,24.69000,25.26000,24.69000,24.96000,4484,3232100
2009.07.27,25.16000,25.32000,24.82000,25.13000,3718,2513000
2009.07.28,24.83000,25.23000,24.68000,25.05000,6823,4957100
2009.07.29,24.66000,24.76000,24.21000,24.52000,6462,4934000
2009.07.30,24.67000,25.24000,24.62000,24.82000,6080,4753400
2009.07.31,24.61000,25.24000,24.55000,25.13000,6366,3334700
2009.08.03,25.47000,25.91000,25.47000,25.83000,5245,3492200
2009.08.04,25.56000,26.21000,25.50000,25.79000,6059,4154600
